episode_id,condition,rep,block,reward,outcome,elapsed_sec,input_tokens,cache_read_tokens,cache_creation_tokens,output_tokens,tool_uses,assistant_turns,prefix_chars,prefix_sha256,instruction_sha256
ep_000000,irrelevant,0,0,1,timeout_solved,600,24458,1628234,94496,13677,52,87,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000001,correct,0,0,1,solved,355,30863,2291830,97654,21416,66,108,568,b8786167c840f41f9e179525c33979d37202b39dc04efef3586cfa6284ae661c,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000002,wrong,0,0,0,agent_fail,299,30014,1977472,69808,21442,61,102,516,f024267b4950e380baf91d69f7f98f2a9ee7f0250d5728645f0b695c2ef9fae6,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000003,reset,0,0,1,solved,271,25653,1684325,111198,16318,48,76,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000004,wrong,1,1,0,agent_fail,401,25106,914128,95697,34354,34,64,516,f024267b4950e380baf91d69f7f98f2a9ee7f0250d5728645f0b695c2ef9fae6,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000005,irrelevant,1,1,1,timeout_solved,600,0,0,0,0,70,110,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000006,reset,1,1,1,solved,78,15654,600320,0,5132,23,38,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000007,correct,1,1,1,solved,314,34854,2631919,83393,15988,73,121,568,b8786167c840f41f9e179525c33979d37202b39dc04efef3586cfa6284ae661c,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000008,correct,2,2,1,solved,436,37249,2505881,156007,29003,78,126,568,b8786167c840f41f9e179525c33979d37202b39dc04efef3586cfa6284ae661c,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000009,wrong,2,2,0,agent_fail,297,21835,1105613,120626,17953,38,67,516,f024267b4950e380baf91d69f7f98f2a9ee7f0250d5728645f0b695c2ef9fae6,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000010,irrelevant,2,2,1,solved,437,36694,3403136,78309,17705,97,135,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
ep_000011,reset,2,2,1,solved,222,27904,1480039,85674,11606,47,75,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cc50dc5390aa4572740b3b6562fc3d4cbca934edecc2826f375804b8571fc269
