episode_id,condition,rep,block,reward,outcome,elapsed_sec,input_tokens,cache_read_tokens,cache_creation_tokens,output_tokens,tool_uses,assistant_turns,prefix_chars,prefix_sha256,instruction_sha256
ep_000000,irrelevant,0,0,1,solved,234,47753,1247488,0,24263,39,71,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000001,correct,0,0,1,solved,413,38818,2261067,82220,38569,58,103,546,989e8167c0118f9267a8b53ee13f72ff3259ee2f6a34be42805d771d11f646c5,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000002,wrong,0,0,1,solved,523,38435,1803287,119462,56961,42,81,566,72ea49ace46f8cbf809b7e94554aa6567d9ebd40fd0b57efb64a3386b1d12717,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000003,reset,0,0,1,solved,423,28037,1895123,101410,39104,56,108,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000004,wrong,1,1,1,solved,580,38179,1795712,0,66900,59,101,566,72ea49ace46f8cbf809b7e94554aa6567d9ebd40fd0b57efb64a3386b1d12717,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000005,irrelevant,1,1,1,solved,251,26288,1498453,52507,14554,44,91,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000006,reset,1,1,1,timeout_solved,600,0,0,0,0,91,166,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000007,correct,1,1,1,solved,570,34878,2036992,0,61048,62,109,546,989e8167c0118f9267a8b53ee13f72ff3259ee2f6a34be42805d771d11f646c5,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000008,correct,2,2,1,solved,490,39765,2599566,216493,39160,76,127,546,989e8167c0118f9267a8b53ee13f72ff3259ee2f6a34be42805d771d11f646c5,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000009,wrong,2,2,1,timeout_solved,600,37643,2963968,139402,39240,88,138,566,72ea49ace46f8cbf809b7e94554aa6567d9ebd40fd0b57efb64a3386b1d12717,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000010,irrelevant,2,2,1,solved,543,36422,2063769,116128,52040,65,112,444,3921a81b02fe73d7e25660ca7a127dbafed9a75735f904cc4801e963486ab5cb,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
ep_000011,reset,2,2,1,solved,484,42832,3029056,165748,35495,72,122,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c395af92c6d4e7f6538b767167fe5ecb0aea65d4b0da3f6b67d8b234e907155b
