episode_id,condition,block,reward,outcome,elapsed_sec,input_tokens,output_tokens,cache_read_tokens,tool_uses,assistant_turns,prefix_chars,prompt_sha256
ep_000000,correct_long,0,0,timeout_failed,600,16241,52600,606083,29,57,1036,96879396e2c3
ep_000001,correct_short,0,1,timeout_solved,600,0,0,0,38,66,322,71d96e0c4717
ep_000002,irrelevant_short,0,0,agent_fail,478,44403,25603,3510912,92,136,304,4ca1e528a613
ep_000003,irrelevant_long,0,0,timeout_failed,600,0,0,0,57,85,1018,332b20ad4811
ep_000004,reset,0,1,timeout_solved,600,31309,21065,2705925,77,118,0,fa94b5f780ee
ep_000005,correct_long,1,1,solved,407,36975,30967,2477440,68,120,1036,efebd425781d
ep_000006,irrelevant_short,1,1,solved,546,37423,29567,3280203,92,150,304,98dcf2743219
ep_000007,reset,1,1,timeout_solved,600,30834,21160,3140902,96,124,0,dd619cfa2d19
ep_000008,irrelevant_long,1,1,solved,393,31000,36236,1733504,50,90,1018,8c8a8b5e7685
ep_000009,correct_short,1,1,solved,520,37701,32042,2926923,73,112,322,9f1c7da1da81
ep_000010,correct_long,2,0,timeout_failed,600,37331,48622,2303777,67,114,1036,341fe9aa53e9
ep_000011,correct_short,2,0,timeout_failed,600,28213,40781,2301901,63,110,322,9842014cdb6c
ep_000012,irrelevant_short,2,1,solved,470,30759,29498,1741440,53,77,304,ad93e78edca2
ep_000013,reset,2,1,timeout_solved,600,47972,26904,2885760,71,115,0,6f4bd3062947
ep_000014,irrelevant_long,2,1,timeout_solved,600,28541,13289,1424384,49,80,1018,8ea7ab358e29
