episode_id,condition,block,reward,outcome,elapsed_sec,input_tokens,output_tokens,cache_read_tokens,tool_uses,assistant_turns,prefix_chars,prompt_sha256
ep_000000,irrelevant,0,1,timeout_solved,600,55979,27150,4366208,89,143,330,9fa09a5f257a
ep_000001,correct,0,0,timeout_failed,600,40974,47478,2938756,76,137,556,40d96acb6088
ep_000002,wrong,0,1,timeout_solved,600,57210,43784,3028666,49,103,473,529998b6227f
ep_000003,reset,0,0,timeout_failed,600,0,0,0,93,126,0,ae935f19eb4d
ep_000004,wrong,1,0,timeout_failed,600,64777,34447,4539959,74,121,473,cfd1e7e41ec3
ep_000005,irrelevant,1,1,timeout_solved,600,57531,31290,5301090,112,168,330,d852e5099170
ep_000006,reset,1,1,timeout_solved,600,0,0,0,86,165,0,628790624b48
ep_000007,correct,1,0,timeout_failed,600,51126,38987,3665926,75,107,556,624dd02ce277
ep_000008,correct,2,1,timeout_solved,600,0,0,0,99,151,556,55c7d643c26c
ep_000009,wrong,2,1,timeout_solved,600,57460,45935,5039232,94,178,473,0e05f40574d4
ep_000010,irrelevant,2,0,timeout_failed,600,49826,44325,2922648,57,109,330,217c192a2b1b
ep_000011,reset,2,0,timeout_failed,600,61408,23984,4665856,85,155,0,e0c580924a45
