task_id,repo,language,executable_gate,verification_tier
clap_complete_fish_quote,clap,rust,passed,release_core
clap_complete_value_index,clap,rust,passed,release_core
clap_conflict_usage,clap,rust,passed,release_core
clap_default_values_if,clap,rust,passed,release_core
clap_derive_default_value_os,clap,rust,passed,release_core
clap_derive_type_alias,clap,rust,passed,release_core
clap_error_help_newline,clap,rust,passed,release_core
clap_error_newline,clap,rust,passed,release_core
clap_help_bracket_values,clap,rust,passed,release_core
clap_help_short_padding,clap,rust,passed,release_core
fastify_404_route_handler,fastify,javascript,passed,release_core
fastify_404_unsupported_method,fastify,javascript,passed,release_core
fastify_bodylimit_perparser,fastify,javascript,passed,release_core
fastify_clean_schema_id,fastify,javascript,passed,release_core
fastify_close_blocks_requests,fastify,javascript,passed,release_core
fastify_contenttype_array,fastify,javascript,passed,release_core
fastify_contenttype_emptybody,fastify,javascript,passed,release_core
fastify_decorate_null,fastify,javascript,passed,release_core
fastify_decorator_getter,fastify,javascript,passed,release_core
fastify_delete_body_check,fastify,javascript,passed,release_core
fastify_error_headers_404,fastify,javascript,passed,release_core
fastify_get_shared_schemas,fastify,javascript,passed,release_core
fastify_header_case_validation,fastify,javascript,passed,release_core
fastify_header_schema_case,fastify,javascript,passed,release_core
fastify_log_after_error_handler,fastify,javascript,passed,release_core
fastify_loggr_responsetime,fastify,javascript,passed,release_core
fastify_middleware_encapsulation,fastify,javascript,passed,release_core
fastify_onsend_encapsulated_404,fastify,javascript,passed,release_core
fastify_onsend_hook_runner,fastify,javascript,pending,executable_candidate
fastify_per_parser_bodylimit,fastify,javascript,passed,release_core
fastify_prefix_trailing_slash,fastify,javascript,passed,release_core
fastify_redirect_statuscode,fastify,javascript,passed,release_core
fastify_reply_hasheader,fastify,javascript,passed,release_core
fastify_reply_headerssent,fastify,javascript,passed,release_core
fastify_reply_json_charset,fastify,javascript,passed,release_core
fastify_reply_removeheader,fastify,javascript,passed,release_core
fastify_reply_sendstream,fastify,javascript,passed,release_core
fastify_route_404_to_handler,fastify,javascript,passed,release_core
httpx_client_property_convert,httpx,python,passed,release_core
httpx_headers_keyerror,httpx,python,passed,release_core
httpx_json_encoding_detection,httpx,python,passed,release_core
httpx_multipart_header_encoding,httpx,python,passed,release_core
httpx_queryparam_lists,httpx,python,passed,release_core
httpx_queryparam_types,httpx,python,passed,release_core
httpx_sslconfig_accept_context,httpx,python,passed,release_core
httpx_tA,httpx,python,not_applicable,unknown
httpx_tB,httpx,python,pending,unknown
httpx_tC,httpx,python,not_applicable,unknown
httpx_url_copywith_authority,httpx,python,passed,release_core
ripgrep_c2,ripgrep,rust,not_applicable,unknown
ripgrep_c3,ripgrep,rust,passed,release_core
ripgrep_c4,ripgrep,rust,passed,release_core
ripgrep_c5,ripgrep,rust,passed,release_core
ripgrep_crlf_preserve_terminator,ripgrep,rust,passed,release_core
ripgrep_deadlock_visitor_panic,ripgrep,rust,passed,release_core
ripgrep_gitignore_skip_bom,ripgrep,rust,passed,release_core
ripgrep_globset_matches_all,ripgrep,rust,passed,release_core
ripgrep_look_around_panic,ripgrep,rust,passed,release_core
ripgrep_min_depth_option,ripgrep,rust,passed,release_core
ripgrep_skip_unreachable_ignore,ripgrep,rust,passed,release_core
viper_config_notfound_error,viper,go,passed,release_core
viper_default_decode_hook,viper,go,passed,release_core
viper_sub_keydelim,viper,go,passed,release_core
viper_unmarshal_automaticenv,viper,go,passed,release_core
viper_unmarshal_exact_merge,viper,go,passed,release_core
